DATE,CLOSE
30/06/2009,60
01/07/2009,60.5
02/07/2009,58
03/07/2009,56
06/07/2009,58.5
07/07/2009,56.5
08/07/2009,55.5
09/07/2009,54
10/07/2009,51.5
13/07/2009,49
14/07/2009,47.8
15/07/2009,49
16/07/2009,49.8
17/07/2009,49.1
20/07/2009,46.8
21/07/2009,46.9
22/07/2009,47.5
23/07/2009,49.8
24/07/2009,52
27/07/2009,54.5
28/07/2009,53
29/07/2009,52.5
30/07/2009,51.5
31/07/2009,54
03/08/2009,56.5
04/08/2009,58.5
05/08/2009,58
06/08/2009,57
07/08/2009,56.5
10/08/2009,57.5
11/08/2009,57
12/08/2009,56.5
13/08/2009,57
14/08/2009,57
17/08/2009,56
18/08/2009,55.5
19/08/2009,55.5
20/08/2009,55.5
21/08/2009,56
24/08/2009,56.5
25/08/2009,55.5
26/08/2009,56
27/08/2009,56
28/08/2009,56.5
31/08/2009,57.5
01/09/2009,57
03/09/2009,56
04/09/2009,54.5
07/09/2009,53
08/09/2009,53.5
09/09/2009,53.5
10/09/2009,53
11/09/2009,53
14/09/2009,53
15/09/2009,52.5
16/09/2009,55
17/09/2009,56
18/09/2009,56.5
21/09/2009,55
22/09/2009,54
23/09/2009,54.5
24/09/2009,53.5
25/09/2009,55.5
28/09/2009,54.5
29/09/2009,54
30/09/2009,53.5
01/10/2009,52.5
02/10/2009,51
05/10/2009,51
06/10/2009,50.5
07/10/2009,51
08/10/2009,51
09/10/2009,51.5
12/10/2009,53
13/10/2009,52
14/10/2009,54.5
15/10/2009,57
16/10/2009,56.5
19/10/2009,55
20/10/2009,54.5
21/10/2009,54
22/10/2009,55
23/10/2009,56.5
26/10/2009,55
27/10/2009,53
28/10/2009,53
29/10/2009,51
30/10/2009,52
02/11/2009,53
03/11/2009,51.5
04/11/2009,51.5
05/11/2009,53
06/11/2009,51.5
09/11/2009,50.5
10/11/2009,49.6
11/11/2009,50
12/11/2009,50.5
13/11/2009,49.8
16/11/2009,49.6
17/11/2009,48.9
18/11/2009,48.3
19/11/2009,48.9
20/11/2009,48.2
23/11/2009,47.2
24/11/2009,46.3
25/11/2009,44
26/11/2009,41.8
27/11/2009,43.8
30/11/2009,45.9
01/12/2009,48.1
02/12/2009,47
03/12/2009,47
04/12/2009,46.2
07/12/2009,46
08/12/2009,44.7
09/12/2009,43
10/12/2009,42.7
11/12/2009,40.8
14/12/2009,42.8
15/12/2009,44.9
16/12/2009,43
17/12/2009,44
18/12/2009,46.2
21/12/2009,47.6
22/12/2009,46.6
23/12/2009,46.2
24/12/2009,46
25/12/2009,47
28/12/2009,46
29/12/2009,45.2
30/12/2009,45.6
31/12/2009,47
04/01/2010,49.3
05/01/2010,49.8
06/01/2010,48
07/01/2010,47
08/01/2010,47
11/01/2010,47
12/01/2010,45.5
13/01/2010,47
14/01/2010,46.4
15/01/2010,45.3
18/01/2010,43.5
19/01/2010,44.7
20/01/2010,43.8
21/01/2010,43
22/01/2010,42.5
25/01/2010,42.5
26/01/2010,42.8
27/01/2010,42.8
28/01/2010,42.3
29/01/2010,42
01/02/2010,41.8
02/02/2010,42.3
03/02/2010,43.5
04/02/2010,44.5
05/02/2010,43.7
08/02/2010,43.7
09/02/2010,42.6
10/02/2010,43.5
11/02/2010,44.5
12/02/2010,44.5
22/02/2010,45.2
23/02/2010,45.2
