DATE,CLOSE
02/01/2020,90.8
03/01/2020,89.9
06/01/2020,87.5
07/01/2020,87.8
08/01/2020,87
09/01/2020,88.7
10/01/2020,89.5
13/01/2020,89.4
14/01/2020,89.4
15/01/2020,89.3
16/01/2020,89.5
17/01/2020,94.5
20/01/2020,94
21/01/2020,94
22/01/2020,93.4
30/01/2020,88.9
31/01/2020,88.7
03/02/2020,88.7
04/02/2020,89.8
05/02/2020,88.9
06/02/2020,89.4
07/02/2020,90
10/02/2020,88.9
11/02/2020,89.2
12/02/2020,89.4
13/02/2020,89.3
14/02/2020,89.3
17/02/2020,89.4
18/02/2020,89.4
19/02/2020,89.5
20/02/2020,89.5
21/02/2020,89
24/02/2020,87.2
25/02/2020,86.2
26/02/2020,85
27/02/2020,84
28/02/2020,82.4
02/03/2020,81.8
03/03/2020,82.2
04/03/2020,81.7
05/03/2020,83.1
06/03/2020,84.5
09/03/2020,78.6
10/03/2020,79.9
11/03/2020,77
12/03/2020,71.7
13/03/2020,71
16/03/2020,67.1
17/03/2020,67.5
18/03/2020,69.3
19/03/2020,66
20/03/2020,61.5
23/03/2020,57.2
24/03/2020,58
25/03/2020,62
26/03/2020,63.2
27/03/2020,64.1
30/03/2020,61
31/03/2020,62
01/04/2020,65
03/04/2020,65.5
06/04/2020,68
07/04/2020,68.2
08/04/2020,67.5
09/04/2020,71
10/04/2020,70.6
13/04/2020,70.8
14/04/2020,69.9
15/04/2020,70.9
16/04/2020,71.2
17/04/2020,71.4
20/04/2020,71.9
21/04/2020,71.5
22/04/2020,69.3
23/04/2020,69.2
24/04/2020,68.9
27/04/2020,66.8
28/04/2020,67
29/04/2020,68
04/05/2020,67.4
05/05/2020,66.8
06/05/2020,67.6
07/05/2020,69.7
08/05/2020,73.5
11/05/2020,74.5
12/05/2020,75.6
13/05/2020,75.6
14/05/2020,76
15/05/2020,76
18/05/2020,78.5
19/05/2020,79
20/05/2020,79.6
21/05/2020,81.2
22/05/2020,81
25/05/2020,81.1
26/05/2020,82.5
27/05/2020,82.9
28/05/2020,84.5
29/05/2020,85.2
01/06/2020,86.5
02/06/2020,86.6
03/06/2020,87.9
04/06/2020,89
05/06/2020,89
08/06/2020,89.4
09/06/2020,89.5
10/06/2020,89.6
11/06/2020,88
12/06/2020,85.6
15/06/2020,82
16/06/2020,83.7
17/06/2020,84.2
18/06/2020,85
19/06/2020,85.4
22/06/2020,85.5
23/06/2020,86
24/06/2020,84.7
25/06/2020,83.7
26/06/2020,83.3
29/06/2020,81.5
30/06/2020,80.3
01/07/2020,82.7
02/07/2020,82.6
03/07/2020,83
06/07/2020,82.9
07/07/2020,83.4
08/07/2020,83
09/07/2020,83.6
10/07/2020,82.7
13/07/2020,82.9
14/07/2020,83
15/07/2020,83.5
16/07/2020,83.5
17/07/2020,82.8
20/07/2020,82.2
21/07/2020,82.5
22/07/2020,82.5
23/07/2020,82.5
24/07/2020,81
27/07/2020,77
28/07/2020,78.5
29/07/2020,77.5
30/07/2020,77.4
31/07/2020,76.4
03/08/2020,78.8
04/08/2020,81.9
05/08/2020,82.7
06/08/2020,82.8
07/08/2020,82.9
10/08/2020,81.9
11/08/2020,82.1
12/08/2020,82.1
13/08/2020,83
14/08/2020,82
17/08/2020,82.3
18/08/2020,82.3
19/08/2020,83
20/08/2020,83
21/08/2020,82.9
24/08/2020,83.9
25/08/2020,83.9
26/08/2020,83.5
27/08/2020,83.5
28/08/2020,83.4
31/08/2020,83
01/09/2020,83
03/09/2020,86.2
04/09/2020,84.9
07/09/2020,83.6
08/09/2020,82.5
09/09/2020,82.2
10/09/2020,82.1
11/09/2020,82.3
14/09/2020,83
15/09/2020,82.5
16/09/2020,82.9
17/09/2020,82.5
18/09/2020,82.9
21/09/2020,83
22/09/2020,84
23/09/2020,85.4
24/09/2020,86.1
25/09/2020,86
28/09/2020,86
29/09/2020,84.6
30/09/2020,84.1
01/10/2020,84.8
02/10/2020,84
05/10/2020,83.5
06/10/2020,83.9
07/10/2020,85
08/10/2020,84.8
09/10/2020,84.8
12/10/2020,85.9
13/10/2020,86.5
14/10/2020,88.2
15/10/2020,88.6
16/10/2020,88.2
19/10/2020,87.5
20/10/2020,87.7
21/10/2020,86.2
22/10/2020,86.6
23/10/2020,87.5
26/10/2020,86
27/10/2020,86
28/10/2020,84.2
29/10/2020,83.6
30/10/2020,83
02/11/2020,85.8
03/11/2020,85
04/11/2020,85
05/11/2020,85
06/11/2020,85
09/11/2020,85.5
10/11/2020,85.1
11/11/2020,84.9
12/11/2020,86.4
13/11/2020,86.9
16/11/2020,85.8
17/11/2020,87.6
18/11/2020,87.6
19/11/2020,90.2
20/11/2020,92.5
23/11/2020,91.6
24/11/2020,92.4
25/11/2020,93.5
26/11/2020,94
27/11/2020,94.5
30/11/2020,93
01/12/2020,92
02/12/2020,93.5
03/12/2020,93.5
04/12/2020,91.1
07/12/2020,93.1
08/12/2020,93.1
09/12/2020,96.5
10/12/2020,97.2
11/12/2020,97.2
14/12/2020,99.9
15/12/2020,97.8
16/12/2020,99.9
17/12/2020,96
18/12/2020,98.9
21/12/2020,98.9
22/12/2020,97.9
23/12/2020,97.5
24/12/2020,97.3
25/12/2020,97.6
28/12/2020,98
29/12/2020,99.2
30/12/2020,97.9
